House,Source,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Mean,Standard Deviation
PAGE,Electricity,"6,941.70","5,608.90","7,650.80","2,246.50","2,559.10","15,404.30","11,427.50","11,427.50","15,555.60","15,733.20","19,023.00","18,727.70","16,764.80","17,869.10","18,800.50","16,024.70","14,153.70","14,711.50","14,011.00","14,542.80","13,288.50","16,642.40","18,054.30","16,540.50","10,531.30","10,294.30","15,608.00","17,356.30","16,566.30","13,775.90","12,502.60","10,385.50","16,327.30","19,971.50","20,377.00","19,381.80","14,850.30","18,257.10","19,003.20","19,074.30","19,402.20","15,858.50","12,763.90","15,452.70","17,332.00","19,921.10","20,118.20","19,166.40","16,734.70","17,081.30","17,771.70","17,943.80","19,313.90","15,415.50","11,914.80","14,405.40","15,971.50","20,191.00","20,849.10","19,472.10","15,417.54","4,213.01"
PAGE,MTHW,,,,,,,,,,37.77,47.14,107.90,131.13,123.42,103.67,63.47,36.22,38.68,39.08,46.19,43.05,44.12,41.39,57.72,93.48,100.00,99.66,82.41,60.78,43.90,41.37,33.46,47.17,53.16,57.94,82.61,63.43,131.56,96.02,71.86,59.39,47.88,40.01,50.08,55.77,59.03,58.12,78.65,116.35,98.54,87.96,84.68,64.21,47.58,46.54,53.45,37.22,53.31,54.33,78.20,66.49,26.88
PAGE,Water,110.00,116.00,200.26,23.00,28.00,19.00,3.00,7.00,416.00,"1,357.00","1,023.00",828.00,402.00,647.00,856.00,183.00,3.00,8.00,9.00,5.00,10.00,666.00,760.00,539.00,10.00,44.00,616.00,871.00,883.00,421.00,9.00,5.00,436.00,938.00,870.00,762.00,472.00,471.00,921.00,736.00,923.00,354.00,6.00,317.00,597.00,"1,021.00",939.00,742.00,455.00,575.00,"1,112.00",943.00,"1,251.00",402.00,16.00,366.00,752.00,"1,309.00","1,392.00","1,136.00",521.52,420.51
EMMET,Electricity,"7,558.30","6,107.10","8,330.40","2,446.10","2,786.40","16,772.70","12,442.50","12,442.50","16,937.40","17,130.80","20,712.80","20,391.30","18,254.00","19,456.40","20,470.50","17,448.20","15,410.90","16,018.30","15,255.60","15,834.60","14,469.00","18,120.80","19,658.10","18,009.80","11,466.70","11,208.70","16,994.40","18,898.10","18,037.90","14,999.60","13,613.20","11,308.00","17,777.60","21,745.60","22,187.00","21,103.50","16,169.40","19,878.90","20,691.30","20,768.70","21,125.70","17,267.20","13,897.50","16,825.20","18,871.40","21,690.40","21,905.00","20,868.60","18,221.00","18,598.40","19,350.10","19,537.50","21,029.30","16,784.60","12,973.00","15,684.80","17,390.10","21,984.30","22,700.90","21,201.50","16,786.99","4,587.23"
EMMET,MTHW,,,,,,,,,,41.12,51.33,117.48,142.78,134.38,112.88,69.11,39.44,42.12,42.55,50.30,46.88,48.04,45.06,62.85,101.79,108.88,108.51,89.73,66.18,47.80,45.04,36.43,51.36,57.88,63.09,89.95,69.06,143.25,104.55,78.25,64.66,52.14,43.57,54.53,60.72,64.27,63.29,85.63,126.68,107.29,95.78,92.20,69.91,51.81,50.67,58.19,40.53,58.05,59.16,85.14,72.40,29.27
EMMET,Water,110.00,116.00,110.00,110.00,59.00,50.00,6.00,5.00,228.00,"1,106.00",937.00,804.00,426.00,669.00,871.00,187.00,3.00,6.00,5.00,4.00,7.00,621.00,672.00,462.00,6.00,47.00,525.00,618.00,594.00,246.00,11.00,4.00,401.00,900.00,820.00,581.00,326.00,29.78,755.85,424.83,721.25,263.39,29.10,"1,206.60","1,080.10","1,175.90",570.91,459.05,288.92,385.07,680.25,588.28,817.13,299.00,41.00,319.00,563.00,885.00,841.00,630.00,428.46,355.71
ECHOLS,Electricity,"6,941.70","5,608.90","7,650.80","2,246.50","2,559.10","10,187.50","2,731.70","4,757.10","5,072.20","7,927.60","18,485.70","17,862.90","15,409.30","17,604.80","19,336.40","16,205.50","13,240.00","12,808.20","10,119.20","8,401.10","13,357.90","19,175.30","20,379.30","19,107.30","10,521.70","9,861.40","17,100.50","20,091.70","19,083.00","16,394.70","12,649.00","13,577.80","16,721.80","21,338.40","21,142.10","20,250.40","15,093.50","18,576.20","18,996.40","19,973.80","19,994.80","16,645.40","12,984.80","13,329.90","15,200.40","20,788.50","19,196.40","17,966.90","14,674.20","16,026.90","17,580.70","18,063.10","18,978.60","15,298.90","10,723.50","13,416.10","16,065.90","20,780.60","20,505.00","19,497.00","14,771.10","5,265.37"
ECHOLS,MTHW,,,,,,,,,,49.33,49.66,80.09,86.37,95.17,76.38,82.55,39.47,32.18,29.38,22.13,45.70,58.38,60.68,79.75,85.89,90.68,104.15,67.91,54.92,50.90,50.75,57.05,41.97,58.00,54.44,74.72,58.62,117.65,86.53,63.79,53.18,45.19,37.67,37.93,35.70,56.45,54.60,70.96,101.24,85.11,77.11,70.68,52.28,46.67,37.56,46.01,47.13,61.51,56.94,72.86,61.80,20.88
ECHOLS,Water,110.00,116.00,110.00,110.00,116.67,18.00,19.00,33.00,421.00,"1,199.00","1,086.00",970.00,537.00,812.00,"1,093.00",255.00,13.00,8.00,11.00,68.00,32.00,818.00,"1,016.00",745.00,20.00,77.00,807.00,"1,158.00",878.00,370.00,9.00,2.00,462.00,"1,037.00",932.00,812.00,493.00,514.00,945.00,738.00,912.00,351.00,7.00,258.00,744.00,"1,219.00","1,095.00",843.00,503.00,680.00,"1,195.00","1,010.00","1,181.00",391.00,7.00,319.00,731.00,"1,038.00","1,025.00",861.00,555.68,423.84
HUMPHREYS,Electricity,"7,558.30","6,107.10","8,330.40","2,446.10","2,786.40","11,092.50","2,974.30","5,179.60","5,522.70","8,631.80","20,127.70","19,449.60","16,778.00","19,168.60","21,054.10","17,645.00","14,416.00","13,945.90","11,018.10","9,147.30","14,544.50","20,878.60","22,189.60","20,804.60","11,456.40","10,737.40","18,619.50","21,876.40","20,778.10","17,851.10","13,772.60","14,783.90","18,207.20","23,233.90","23,020.20","22,049.20","16,434.20","20,226.30","20,683.80","21,748.10","21,770.90","18,124.00","14,138.10","14,513.80","16,550.40","22,634.90","20,901.40","19,562.60","15,977.50","17,450.40","19,142.20","19,667.40","20,664.20","16,657.70","11,675.90","14,607.70","17,492.80","22,626.30","22,326.20","21,228.60","16,083.14","5,733.06"
HUMPHREYS,MTHW,,,,,,,,,,53.71,54.07,87.20,94.04,103.62,83.16,89.88,42.98,35.04,32.00,24.09,49.76,63.57,66.07,86.84,93.52,98.73,113.40,73.94,59.80,55.42,55.26,62.11,45.70,63.15,59.27,81.36,63.82,128.10,94.22,69.45,57.90,49.20,41.01,41.30,38.87,61.46,59.45,77.27,110.23,92.67,83.96,76.96,56.93,50.82,40.90,50.09,51.31,66.97,62.00,79.33,67.29,22.73
HUMPHREYS,Water,110.00,116.00,110.00,110.00,,30.00,50.00,29.00,904.00,"1,492.00","1,221.00",975.00,502.00,804.00,"1,066.00",259.00,44.00,126.00,289.00,220.00,40.00,623.00,692.00,526.00,5.00,43.00,507.00,565.00,511.00,261.00,6.00,1.00,365.00,803.00,679.00,519.00,292.00,285.00,548.00,473.00,593.00,230.00,9.00,7.00,382.00,762.00,617.00,181.06,504.45,351.13,511.70,462.01,652.46,298.00,10.00,201.00,531.00,959.00,899.00,712.00,424.98,343.80
LEFEVRE,Electricity,"10,979.50","10,631.20","12,047.10","12,460.40","14,043.20","10,360.20","8,209.00","7,806.60","4,902.10","4,321.20","4,696.40","5,988.40","6,914.90","6,841.40","6,425.90","6,867.20",,"6,673.60","11,367.90","15,435.00","13,897.00","19,435.80","20,493.10","18,127.90","10,649.80","10,678.70","18,415.60","20,182.50","19,443.20","15,887.10","12,469.80","12,960.00","16,453.90","20,444.60","20,710.30","19,321.80","14,036.80","16,908.50","19,034.40","19,043.20","20,018.00","16,589.70","13,118.60","13,835.30","17,187.90","21,346.50","21,662.50","19,833.70","17,038.80","17,941.20","17,813.30","19,563.50","20,276.00","16,731.80","14,934.40","16,337.20","19,374.50","22,047.20","22,569.60","20,825.60","14,823.91","5,243.24"
LEFEVRE,MTHW,475.24,425.23,410.20,428.12,316.25,247.16,294.57,169.83,143.96,0.00,0.00,0.00,0.00,196.31,174.67,174.67,25.76,85.53,25.25,44.26,54.73,46.71,40.26,48.35,74.88,85.07,96.39,62.99,49.85,38.92,43.46,48.05,50.82,49.88,49.47,66.27,51.38,121.48,86.08,59.22,49.37,43.25,43.39,53.17,60.52,61.88,57.16,71.08,106.67,88.51,76.22,72.04,48.16,40.68,36.11,44.13,63.54,62.62,60.39,70.66,101.18,110.01
LEFEVRE,Water,"1,164.20","1,286.30","1,884.10","1,354.40","1,865.40",980.45,863.10,122.00,222.75,53.88,35.32,37.50,35.32,36.31,44.00,41.84,-28.84,36.66,15.00,146.00,56.00,438.00,554.00,409.00,10.00,42.00,461.00,593.00,534.00,237.00,5.00,3.00,347.00,678.00,581.00,485.00,313.00,337.00,565.00,414.00,499.00,"3,441.00",269.00,97.00,380.00,799.00,724.00,519.00,304.00,450.00,731.00,585.00,714.00,302.00,117.00,174.00,442.00,767.00,741.00,587.00,498.33,574.21
METCALF,Electricity,"14,262.80","14,033.50","15,708.70","15,494.50","17,568.80","11,581.30","7,723.00","7,344.40","4,611.90","4,065.40","4,418.30","5,633.80","6,505.50","6,436.30","6,045.50","6,460.70",,"6,278.40","10,694.90","14,521.10","13,074.20","18,285.10","19,279.80","17,054.60","10,019.30","10,046.50","17,325.30","18,987.50","18,292.00","14,946.50","11,731.50","12,192.70","15,479.70","19,234.10","19,484.20","18,177.80","13,205.80","15,907.50","17,907.50","17,915.70","18,832.80","15,607.50","12,342.10","13,016.40","16,170.50","20,082.90","20,380.20","18,659.70","16,030.20","16,879.20","16,758.80","18,405.50","19,075.80","15,741.30","14,050.40","15,370.20","18,227.60","20,742.10","21,233.60","19,592.80","14,324.33","4,857.67"
METCALF,MTHW,447.11,400.06,385.91,402.78,297.53,232.53,277.13,159.78,135.44,0.00,0.00,0.00,0.00,184.69,164.33,164.33,24.24,80.47,23.75,41.64,51.49,43.95,37.88,45.48,70.45,80.03,90.69,59.26,46.90,36.62,40.89,45.21,47.81,46.92,46.54,62.34,48.34,114.29,80.99,55.71,46.44,40.69,40.82,50.02,56.94,58.21,53.77,66.87,100.35,83.27,71.71,67.77,45.31,38.27,33.97,41.52,59.78,58.92,56.81,66.48,95.19,103.50
METCALF,Water,"1,411.90","1,523.90","2,209.90","1,639.30","2,238.30","1,060.80",823.95,55.00,219.63,37.22,32.44,29.45,32.44,31.08,30.00,31.64,-11.64,27.73,22.00,457.00,62.00,602.00,700.00,502.00,7.00,45.00,582.00,713.00,668.00,257.00,9.00,75.00,448.00,800.00,790.00,582.00,356.00,383.00,696.00,522.00,680.00,245.00,17.00,22.00,423.00,999.00,879.00,638.00,411.00,559.00,993.00,824.00,"1,064.00",424.00,180.00,247.00,568.00,"1,073.00","1,068.00",887.00,548.37,521.88
HANCOCK,Electricity,"11,096.00","11,312.00","12,956.00","13,524.00","15,192.00","12,198.00","14,586.60","6,782.00","7,539.00","4,065.40","4,418.30","5,633.80","6,505.50","6,436.30","6,045.50","6,460.70",,"30,989.00","13,265.00","14,625.70","13,677.60","19,152.00","20,494.80","18,182.50","11,416.80","11,483.90","18,270.00","19,776.70","18,689.70","15,700.50","12,726.80","13,555.80","16,385.70","20,068.30","20,371.10","18,999.90","14,737.30","17,031.60","18,585.70","18,904.60","19,679.80","15,848.80","12,860.80","13,415.60","16,868.50","20,575.00","20,781.20","18,989.20","16,111.60","15,668.70","19,142.40","19,813.80","20,531.70","16,856.90","15,795.70","18,552.60","19,359.80","20,895.60","21,303.40","19,798.40","15,333.76","5,252.48"
HANCOCK,MTHW,447.11,400.06,385.91,402.78,297.53,232.53,277.13,159.78,135.44,0.00,0.37,126.89,112.42,115.32,86.00,86.00,-2.00,32.00,21.90,47.61,48.88,50.18,52.42,61.73,90.66,98.31,108.59,72.63,53.92,43.36,51.83,58.24,61.31,59.85,62.06,89.16,63.69,137.40,96.23,73.84,63.43,53.11,54.50,67.11,69.07,63.93,70.65,87.66,123.44,111.81,93.83,88.19,59.23,50.30,74.32,104.64,97.42,81.05,80.28,102.84,106.60,97.69
HANCOCK,Water,"1,499.90","1,316.90","1,360.90","2,310.20","1,892.20",955.78,841.95,,192.63,,45.00,25.00,45.00,35.91,20.00,28.56,11.44,26.82,19.00,475.00,6.00,554.00,663.00,457.00,2.00,31.00,416.00,457.00,392.00,160.00,5.00,1.00,277.00,595.00,534.00,520.00,253.00,278.00,468.00,375.00,495.00,181.00,8.00,64.00,410.00,770.00,649.00,465.00,281.00,418.00,699.00,557.00,703.00,278.00,106.00,292.00,483.00,755.00,738.00,777.00,459.92,472.69
BONNYCASTLE,Electricity,"25,254.00","30,615.00","30,814.00","28,797.00","31,406.00","22,349.00","17,146.00","21,773.00","22,118.00","30,263.00","33,097.00","26,662.70","26,852.70","29,708.30","30,873.60","23,243.30","18,644.00","17,201.60","8,496.10","12,212.90","13,431.30","22,801.30","24,612.30","26,419.40","14,059.90","12,722.30","23,690.10","30,822.50","28,352.10","22,459.90","14,780.60","11,167.20","22,863.80","30,685.90","30,254.80","28,033.50","21,746.80","24,297.30","27,809.90","27,596.60","28,110.60","21,311.30","15,861.10","9,955.40","16,587.00","27,561.30","28,556.00","26,253.00","21,759.00","20,646.30","26,738.00","27,548.40","27,770.00","21,510.10","14,105.80","12,762.80","21,915.80","31,153.00","31,456.10","28,984.30","23,444.67","6,478.26"
BONNYCASTLE,MTHW,109.78,134.28,108.19,90.83,56.08,49.84,40.44,50.92,52.08,57.77,47.36,111.68,102.14,109.55,96.32,55.38,31.56,30.26,12.56,7.53,11.15,28.01,32.02,74.68,92.07,81.14,94.51,71.75,49.50,36.89,37.63,23.15,46.56,52.73,53.96,75.56,56.20,133.92,91.22,63.38,48.90,41.48,40.00,19.02,18.99,48.54,45.23,66.34,101.77,82.70,75.51,77.28,47.06,40.31,33.26,32.90,39.41,55.70,48.00,70.58,59.89,30.21
BONNYCASTLE,Water,468.00,605.00,796.00,620.00,805.00,267.00,39.00,117.00,214.00,723.00,635.00,596.00,336.00,513.00,704.00,156.00,4.00,4.00,5.00,1.00,5.00,439.00,489.00,359.00,4.00,54.00,457.00,529.00,428.00,169.00,9.00,1.00,284.00,634.00,546.00,427.00,239.00,242.00,481.00,369.00,450.00,164.00,51.00,3.00,307.00,617.00,549.00,415.00,231.00,299.00,573.00,502.00,613.00,213.00,6.00,7.00,361.00,753.00,670.00,508.00,351.08,247.18
DABNEY,Electricity,"15,963.70","18,538.80","19,158.20","19,337.80","19,759.50","17,275.00","17,452.00","17,765.20","15,710.10","20,154.90","20,315.00","19,512.80","17,528.70","19,049.60","21,451.20","19,042.10","16,575.50","13,564.40","6,166.20","10,289.80","12,266.00","18,269.00","19,449.70","19,584.80","13,625.70","10,733.40","15,102.00","21,916.50","20,554.50","17,488.60","14,281.30","9,614.10","17,667.40","21,618.30","22,257.10","20,901.10","16,711.80","19,071.90","20,474.90","19,094.80","18,931.80","17,765.20","16,222.20","17,114.10","19,036.00","21,437.60","21,928.90","18,163.30","16,204.20","16,502.30","20,059.00","20,786.40","19,794.30","15,021.80","11,093.10","11,859.70","18,285.20","21,687.20","21,598.40","20,194.00","17,649.64","3,471.21"
DABNEY,MTHW,79.54,142.76,109.29,82.04,51.08,44.69,43.49,45.76,41.99,50.64,34.03,58.85,61.76,70.13,62.18,29.24,23.23,20.16,15.11,24.31,17.40,28.01,29.99,43.33,49.93,43.16,64.16,45.24,28.82,23.60,27.97,24.31,34.75,38.36,34.24,44.90,39.85,87.18,59.83,37.52,28.86,27.92,28.55,36.68,39.87,36.58,29.75,35.15,55.25,55.87,51.46,46.54,28.05,23.46,12.36,16.23,37.05,38.60,34.35,47.86,43.39,22.65
DABNEY,Water,557.78,"1,499.40","1,390.50",790.00,"1,025.00",453.00,395.00,406.00,475.00,"1,081.00",949.00,914.00,481.00,795.00,"1,115.00",237.00,4.00,4.00,3.00,279.00,19.00,637.00,752.00,556.00,7.00,39.00,487.00,566.00,484.00,195.00,6.00,116.00,412.00,716.00,673.00,565.00,341.00,354.00,672.00,500.00,604.00,266.00,20.00,67.00,452.00,957.00,849.00,588.00,359.00,489.00,905.00,847.00,"1,012.00",313.00,10.00,58.00,490.00,"1,032.00","1,015.00",810.00,534.89,369.83
